Day fraction since midnight on 	pH probe (pH)
0.607924611	8.007152557
0.607936189	7.996554375
0.60794778	7.99924469
0.60795935	7.99838829
0.60797094	7.996949196
0.607982493	7.979647636
0.607994075	7.893159866
start	
0.608005645	7.914949894
0.608017216	8.006445885
0.608028797	7.947925568
0.608040364	8.018240929
0.608051933	7.955364227
0.608063504	8.019760132
0.608075078	7.957479954
0.608086654	8.030428886
0.608098228	7.974302769
0.608109795	8.021292687
0.608121371	7.984574318
0.608132962	8.015816689
0.60814454	7.967956066
0.608156107	7.986626625
0.608167687	7.966842175
0.608179254	7.982887745
0.608190827	7.951987267
0.608202403	7.955431461
0.608213969	7.936604977
0.608225557	7.92794323
0.608237133	7.93025589
0.608248686	7.904266357
0.608260276	7.911402226
0.608271844	7.88745594
0.60828344	7.907180309
0.608294995	7.878352642
0.608306558	7.905039311
0.608318131	7.87091589
0.608329725	7.906043053
0.608341284	7.84223938
0.608352855	7.880182743
0.608364434	7.822394848
0.608376005	7.859036923
0.60838758	7.80670166
0.60839917	7.856173039
0.608410737	7.763500214
0.608422304	7.813109875
0.608433886	7.764097214
0.608445449	7.791781426
0.608457027	7.727935314
0.608468594	7.774279594
0.60848017	7.947324753
0.608491742	7.796029568
0.608503332	7.681764126
0.608514899	7.647600174
0.608526472	7.650022507
0.608538041	7.678267002
0.608549618	7.641285896
0.608561208	7.654950142
0.608572775	7.618035317
0.608584334	7.625676632
0.608595909	7.612841129
0.608607491	7.589967728
0.608619058	7.614430428
0.608630637	7.632722855
0.608642214	7.613224983
0.608653789	7.580834866
0.608665383	7.607524872
0.608676945	7.578275204
0.608688514	7.568521977
0.608700082	8.741394997
0.608711657	8.129231453
0.608723236	7.781557083
0.608734818	7.708998203
0.608746378	7.628594399
0.608757949	7.640183926
0.60876953	7.582324982
0.608781099	7.60928154
0.608792668	7.539060116
0.608804245	7.592422962
0.608815827	7.52243042
0.60882742	7.579327107
0.608838987	7.503622055
0.608850554	7.558815956
0.608862113	7.494387627
0.608873703	7.523078919
0.608885273	7.455307961
0.608896843	7.492592335
0.608908418	7.486859798
0.608919985	7.507480621
0.608931575	7.463896751
0.608943142	7.472638607
0.608954714	7.469388962
0.608966285	7.459283829
0.608977875	7.432221413
0.608989445	7.413255692
0.609001013	7.434161663
0.609012588	7.421931744
0.609024155	7.414066792
0.609035728	7.403021812
0.609047307	7.429271698
0.60905888	7.41159296
0.609070447	7.431346417
0.609082037	7.373137474
0.609093617	7.411912918
0.609105184	7.388494015
0.609116759	7.413322926
0.609128326	7.383603573
0.609139896	7.400310516
0.609151471	7.360476971
0.609163052	7.410968781
0.609174634	7.360451698
0.60918619	7.384174824
0.609197764	7.331388474
0.609209339	7.376861572
0.609220915	7.329397678
0.609232492	7.393315315
0.609244071	7.337685108
0.609255645	7.360591412
0.609267215	7.345540047
0.609278788	7.348297596
0.609290355	7.319070816
0.60930193	7.320158482
0.609313525	7.296634674
0.609325098	7.320538044
0.609336669	7.295781136
0.609348238	7.293220997
0.609359811	7.318892002
0.609371384	7.285849571
0.609382979	7.272642136
0.609394529	7.2597332
0.609406119	7.29217577
0.609417671	7.266543865
0.609429251	7.272841454
0.609440823	7.234284401
0.609452399	7.270027638
0.609463988	7.24167347
0.609475541	7.272494793
0.609487137	7.252105713
0.609498709	7.263383389
0.609510298	7.231632233
0.609521851	7.275131226
0.609533418	7.208854199
0.609544994	7.234183788
0.609556574	7.191920757
0.609568155	7.223015785
0.609579727	7.196320534
0.60959129	7.21922493
0.609602864	7.181890011
0.609614435	7.213120937
0.609626006	7.170811653
0.609637596	7.202598572
0.609649175	7.164600372
0.609660753	7.189070225
0.609672322	7.151160717
0.609683878	7.171073437
0.609695459	7.111091614
0.609707026	7.146524906
0.609718615	7.156384945
0.609730186	7.149177074
0.609741749	7.143206596
0.609753322	7.149856567
0.609764897	7.140451431
0.609776487	7.127818584
0.609788056	7.114013195
0.609799625	7.111097336
0.609811219	7.122229576
0.609822786	7.104022503
0.609834347	7.121100903
0.609845921	7.089663506
0.609857494	7.126233101
0.609869065	7.085433483
0.60988064	7.132146835
0.609892228	7.099087715
0.60990379	7.119280815
0.609915362	7.08983326
0.609926947	7.127819538
0.609938537	7.085503101
0.609950104	7.115355492
0.609961665	7.077094555
0.609973234	7.10913229
0.609984804	7.081349373
0.609996382	7.11917448
0.61000798	7.068672657
0.610019543	7.097085476
0.610031099	7.077562809
0.610042674	7.10323
0.610054269	7.052268505
0.610065828	7.076796532
0.610077396	7.047678471
0.610088969	7.069757462
0.610100552	7.043455601
0.610112131	7.025457382
0.610123702	7.026579857
0.610135287	7.042740822
0.61014686	7.01907444
0.610158421	7.00235796
0.610169988	7.005122185
0.610181567	6.990754128
0.610193145	7.020234585
0.610204724	6.985305786
0.610216302	6.993460178
0.61022786	6.959582806
0.61023945	7.00571394
0.610251011	6.979435444
0.610262585	6.992089272
0.610274157	6.952180386
0.610285748	6.98350811
0.610297312	6.958451748
0.610308912	7.00032711
0.610320458	6.943795681
0.610332034	6.999721527
0.610343621	6.973257065
0.61035519	6.986647129
0.610366759	6.976682663
0.610378339	6.981622696
0.610389916	6.919012547
0.610401489	6.956752777
0.610413061	6.940312386
0.610424622	6.966253758
0.610436207	6.930253029
0.610447779	6.950155258
0.610459351	6.939105034
0.610470933	6.938168049
0.610482493	6.914893627
0.610494075	6.930056572
0.610505652	6.92160511
0.610517222	6.922050476
0.6105288	6.931409836
0.610540369	6.901051521
0.610551939	6.929315567
0.61056352	6.931628227
0.610575082	6.940010071
0.610586664	6.875513077
0.610598234	6.92594862
0.610609818	6.892799377
0.610621381	6.924939156
0.610632956	6.877192497
0.610644546	6.906197071
0.610656108	6.875048161
0.610667686	6.906036854
0.610679264	6.861448288
0.610690831	6.903633118
0.610702416	6.858325958
0.610713981	6.875412941
0.610725552	6.862582207
0.610737132	6.888342381
0.610748703	6.869045258
0.610760269	6.909990311
0.610771844	6.875487804
0.610783438	6.891120434
0.610795011	6.833565235
0.610806594	6.854837418
0.610818139	6.838643551
0.610829732	6.883468151
0.610841304	6.842782497
0.610852863	6.827326775
0.61086444	6.814911366
0.610876016	6.839125156
0.610887583	6.848629475
0.610899162	6.845752716
0.610910746	6.832741737
0.610922319	6.828536987
0.610933889	6.839430332
0.610945459	6.823219776
0.610957049	6.829046249
0.610968604	6.819616795
0.610980197	6.815188408
0.610991781	6.820819378
0.611003341	6.823606014
0.611014917	6.774048328
0.611026473	6.841086388
0.611038065	6.82982254
0.611049643	6.856007576
0.61106121	6.807648182
0.611072774	6.849119663
0.611084342	6.819093704
0.611095922	6.863794327
0.611107495	6.856045723
0.611119067	6.878035069
0.611130642	6.826510429
0.611142215	6.845860481
0.611153788	6.828233719
0.611165381	6.849022389
0.611176954	6.807303429
0.611188526	6.835539818
0.611200098	6.820083618
0.611211676	6.830548763
0.611223255	6.816675663
0.61123482	6.818273068
0.611246396	6.833552837
0.611257963	6.824072838
0.61126956	6.825191021
0.611281108	6.800078392
0.611292679	6.793121815
0.611304253	6.804765701
0.611315853	6.80493927
0.6113274	6.764228344
0.611338994	6.783378124
0.611350561	6.789467335
0.611362125	6.804405689
0.611373721	6.769634247
0.611385271	6.790122032
0.611396848	6.766082764
0.611408419	6.777089119
0.611419998	6.74060154
0.61143158	6.739485741
0.611443147	6.707196713
0.61145474	6.74137497
0.611466288	6.718676567
0.611477866	6.742133141
0.611489459	6.691767693
0.611501021	6.73441124
0.611512591	6.71922636
0.611524173	6.739237785
0.611535744	7.024034023
0.611547312	6.786138535
0.611558902	6.737945557
0.611570473	6.742665768
0.611582042	6.657617092
0.611593616	6.676288605
0.611605209	6.650823593
0.611616764	6.673074246
0.611628342	6.639770985
0.611639909	6.660748959
0.611651482	6.651120663
0.611663055	6.643444061
0.611674622	6.632908821
0.611686201	6.647735596
0.611697774	6.663989544
0.611709346	6.657732487
0.611720951	6.631818295
0.611732507	6.592701435
