Day fraction since midnight on 	pH probe (pH)	air valve control 1 ()	air valve control 2 ()	air valve control 3 ()
0.635818578	6.366726875	Inf	Inf	Inf
0.635830145	6.364315033	Inf	Inf	Inf
0.635841747	6.353938103	Inf	Inf	Inf
0.635853291	6.506598473	Inf	Inf	Inf
0.635864881	6.399871826	Inf	Inf	Inf
0.635876448	6.439615727	Inf	Inf	Inf
0.635888015	6.43735075	Inf	Inf	Inf
start part 2				
0.635899616	6.446812153	Inf	Inf	Inf
0.635911183	6.416762829	Inf	Inf	Inf
0.63592275	6.389653206	Inf	Inf	Inf
0.635934317	6.357402802	Inf	Inf	Inf
0.635945884	6.265830994	Inf	Inf	Inf
0.635957474	6.237020016	Inf	Inf	Inf
0.635969041	6.14804697	Inf	Inf	Inf
0.635980608	6.047205448	Inf	Inf	Inf
0.635992187	6.02667284	Inf	Inf	Inf
0.636003777	5.990143299	Inf	Inf	Inf
0.636015344	5.934697151	Inf	Inf	Inf
0.636026911	5.934797287	Inf	Inf	Inf
0.636038478	5.821619034	Inf	Inf	Inf
0.636050068	5.70819521	Inf	Inf	Inf
0.636061635	5.701767445	Inf	Inf	Inf
0.636073202	5.87298727	Inf	Inf	Inf
0.63608478	5.872994423	Inf	Inf	Inf
0.636096347	5.710842609	Inf	Inf	Inf
0.636107937	5.698158741	Inf	Inf	Inf
0.636119504	5.405093193	Inf	Inf	Inf
0.636131071	5.056145191	Inf	Inf	Inf
0.636142661	4.941740036	Inf	Inf	Inf
0.636154228	4.79070425	Inf	Inf	Inf
0.636165795	4.672626495	Inf	Inf	Inf
0.636177374	4.767210484	Inf	Inf	Inf
0.636188941	4.785263062	Inf	Inf	Inf
0.636200531	4.99340725	Inf	Inf	Inf
0.636212098	5.115039825	Inf	Inf	Inf
0.636223665	4.875723362	Inf	Inf	Inf
0.636235255	4.92440033	Inf	Inf	Inf
0.636246822	5.223372936	Inf	Inf	Inf
0.636258389	5.076862812	Inf	Inf	Inf
0.636269991	5.131869316	Inf	Inf	Inf
0.636281535	5.072834492	Inf	Inf	Inf
0.636293125	4.933562279	Inf	Inf	Inf
0.636304692	4.655717373	Inf	Inf	Inf
0.636316259	4.613082886	Inf	Inf	Inf
0.636327849	4.419796467	Inf	Inf	Inf
0.636339416	4.208739281	Inf	Inf	Inf
0.636350983	4.214269161	Inf	Inf	Inf
0.636362561	4.167461872	Inf	Inf	Inf
0.636374128	4.052782536	Inf	Inf	Inf
0.636385718	4.077774525	Inf	Inf	Inf
0.636397285	4.258909226	Inf	Inf	Inf
