file name	layers	flow (mL/s)
0gac_15rpm_trial2.xls	no	0.7
8gac_90gsand_15rpm_1_layer_trial1.xls	1	0.7
8gac_90gsand_15rpm_2_layer_trial1.xls	2	0.8
8gac_90gsand_15rpm_4_layer_trial1.xls	4	0.9
8gac_90gsand_15rpm_6_layer_trial2.xls	6	0.10
8gac_90gsand_15rpm_8_layer_trial2.xls	8	0.11
8gac_90gsand_15rpm_mixed_trial1.xls	no	0.12
8gac_90gsand_20rpm_1_layer_trial1.xls	1	0.933
8gac_90gsand_25rpm_1_layer_trial1.xls	1	1.167
8gac_90gsand_30rpm_1_layer_trial1.xls	1	1.4
8gac_90gsand_45rpm_1_layer_trial1.xls	1	2.1
8gac_90gsand_60rpm_1_layer_trial1.xls	1	2.8
8gac_90gsand_75rpm_1_layer_trial1.xls	1	3.5
8gac_90gsand_90rpm_1_layer_trial1.xls	1	4.2
